name	output_shape	class
nasnet_mobile/separable_conv_1_normal_right2_7	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_7	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_7	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_7	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_7	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_7	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_7	None	BatchNormalization
nasnet_mobile/activation_107	None	Activation
nasnet_mobile/activation_109	None	Activation
nasnet_mobile/activation_111	None	Activation
nasnet_mobile/activation_113	None	Activation
nasnet_mobile/activation_115	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_7	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_7	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_7	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_7	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_7	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_7	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_7	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_7	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right2_7	None	BatchNormalization
nasnet_mobile/normal_left3_7	None	AveragePooling2D
nasnet_mobile/normal_left4_7	None	AveragePooling2D
nasnet_mobile/normal_right4_7	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_7	None	BatchNormalization
nasnet_mobile/normal_add_1_7	None	Add
nasnet_mobile/normal_add_2_7	None	Add
nasnet_mobile/normal_add_3_7	None	Add
nasnet_mobile/normal_add_4_7	None	Add
nasnet_mobile/normal_add_5_7	None	Add
nasnet_mobile/normal_concat_7	None	Concatenate
nasnet_mobile/activation_116	None	Activation
nasnet_mobile/activation_117	None	Activation
nasnet_mobile/adjust_conv_projection_8	None	Conv2D
nasnet_mobile/normal_conv_1_8	None	Conv2D
nasnet_mobile/adjust_bn_8	None	BatchNormalization
nasnet_mobile/normal_bn_1_8	None	BatchNormalization
nasnet_mobile/activation_118	None	Activation
nasnet_mobile/activation_120	None	Activation
nasnet_mobile/activation_122	None	Activation
nasnet_mobile/activation_124	None	Activation
nasnet_mobile/activation_126	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_8	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_8	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_8	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right2_8	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_8	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_8	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_8	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_8	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_8	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_8	None	BatchNormalization
nasnet_mobile/activation_119	None	Activation
nasnet_mobile/activation_121	None	Activation
nasnet_mobile/activation_123	None	Activation
nasnet_mobile/activation_125	None	Activation
nasnet_mobile/activation_127	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_8	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_8	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_8	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_8	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_8	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_8	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_8	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_8	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right2_8	None	BatchNormalization
nasnet_mobile/normal_left3_8	None	AveragePooling2D
nasnet_mobile/normal_left4_8	None	AveragePooling2D
nasnet_mobile/normal_right4_8	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_8	None	BatchNormalization
nasnet_mobile/normal_add_1_8	None	Add
nasnet_mobile/normal_add_2_8	None	Add
nasnet_mobile/normal_add_3_8	None	Add
nasnet_mobile/normal_add_4_8	None	Add
nasnet_mobile/normal_add_5_8	None	Add
nasnet_mobile/normal_concat_8	None	Concatenate
nasnet_mobile/activation_129	None	Activation
nasnet_mobile/activation_128	None	Activation
nasnet_mobile/reduction_conv_1_reduce_8	None	Conv2D
nasnet_mobile/adjust_conv_projection_reduce_8	None	Conv2D
nasnet_mobile/reduction_bn_1_reduce_8	None	BatchNormalization
nasnet_mobile/adjust_bn_reduce_8	None	BatchNormalization
nasnet_mobile/activation_130	None	Activation
nasnet_mobile/activation_132	None	Activation
nasnet_mobile/separable_conv_1_pad_reduction_left1_reduce_8	None	ZeroPadding2D
nasnet_mobile/separable_conv_1_pad_reduction_right1_reduce_8	None	ZeroPadding2D
nasnet_mobile/separable_conv_1_reduction_left1_reduce_8	None	SeparableConv2D
nasnet_mobile/separable_conv_1_reduction_right1_reduce_8	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_reduction_left1_reduce_8	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_reduction_right1_reduce_8	None	BatchNormalization
nasnet_mobile/activation_131	None	Activation
nasnet_mobile/activation_133	None	Activation
nasnet_mobile/separable_conv_2_reduction_left1_reduce_8	None	SeparableConv2D
nasnet_mobile/separable_conv_2_reduction_right1_reduce_8	None	SeparableConv2D
nasnet_mobile/activation_134	None	Activation
nasnet_mobile/separable_conv_2_bn_reduction_left1_reduce_8	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_reduction_right1_reduce_8	None	BatchNormalization
nasnet_mobile/separable_conv_1_pad_reduction_right2_reduce_8	None	ZeroPadding2D
nasnet_mobile/activation_136	None	Activation
nasnet_mobile/reduction_add_1_reduce_8	None	Add
nasnet_mobile/separable_conv_1_reduction_right2_reduce_8	None	SeparableConv2D
nasnet_mobile/separable_conv_1_pad_reduction_right3_reduce_8	None	ZeroPadding2D
nasnet_mobile/activation_138	None	Activation
nasnet_mobile/separable_conv_1_bn_reduction_right2_reduce_8	None	BatchNormalization
nasnet_mobile/separable_conv_1_reduction_right3_reduce_8	None	SeparableConv2D
nasnet_mobile/separable_conv_1_reduction_left4_reduce_8	None	SeparableConv2D
nasnet_mobile/activation_135	None	Activation
nasnet_mobile/separable_conv_1_bn_reduction_right3_reduce_8	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_reduction_left4_reduce_8	None	BatchNormalization
nasnet_mobile/reduction_pad_1_reduce_8	None	ZeroPadding2D
nasnet_mobile/separable_conv_2_reduction_right2_reduce_8	None	SeparableConv2D
nasnet_mobile/activation_137	None	Activation
nasnet_mobile/activation_139	None	Activation
nasnet_mobile/reduction_left2_reduce_8	None	MaxPooling2D
nasnet_mobile/separable_conv_2_bn_reduction_right2_reduce_8	None	BatchNormalization
nasnet_mobile/separable_conv_2_reduction_right3_reduce_8	None	SeparableConv2D
nasnet_mobile/separable_conv_2_reduction_left4_reduce_8	None	SeparableConv2D
nasnet_mobile/adjust_relu_1_9	None	Activation
nasnet_mobile/reduction_add_2_reduce_8	None	Add
nasnet_mobile/reduction_left3_reduce_8	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_reduction_right3_reduce_8	None	BatchNormalization
nasnet_mobile/reduction_left4_reduce_8	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_reduction_left4_reduce_8	None	BatchNormalization
nasnet_mobile/reduction_right5_reduce_8	None	MaxPooling2D
nasnet_mobile/zero_padding2d_3	None	ZeroPadding2D
nasnet_mobile/reduction_add3_reduce_8	None	Add
nasnet_mobile/add_3	None	Add
nasnet_mobile/reduction_add4_reduce_8	None	Add
nasnet_mobile/cropping2d_3	None	Cropping2D
nasnet_mobile/reduction_concat_reduce_8	None	Concatenate
nasnet_mobile/adjust_avg_pool_1_9	None	AveragePooling2D
nasnet_mobile/adjust_avg_pool_2_9	None	AveragePooling2D
nasnet_mobile/adjust_conv_1_9	None	Conv2D
nasnet_mobile/adjust_conv_2_9	None	Conv2D
nasnet_mobile/activation_140	None	Activation
nasnet_mobile/concatenate_3	None	Concatenate
nasnet_mobile/normal_conv_1_9	None	Conv2D
nasnet_mobile/adjust_bn_9	None	BatchNormalization
nasnet_mobile/normal_bn_1_9	None	BatchNormalization
nasnet_mobile/activation_141	None	Activation
nasnet_mobile/activation_143	None	Activation
nasnet_mobile/activation_145	None	Activation
nasnet_mobile/activation_147	None	Activation
nasnet_mobile/activation_149	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_9	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_9	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_9	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right2_9	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_9	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_9	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_9	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_9	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_9	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_9	None	BatchNormalization
nasnet_mobile/activation_142	None	Activation
nasnet_mobile/activation_144	None	Activation
nasnet_mobile/activation_146	None	Activation
nasnet_mobile/activation_148	None	Activation
nasnet_mobile/activation_150	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_9	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_9	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_9	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_9	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_9	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_9	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_9	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_9	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right2_9	None	BatchNormalization
nasnet_mobile/normal_left3_9	None	AveragePooling2D
nasnet_mobile/normal_left4_9	None	AveragePooling2D
nasnet_mobile/normal_right4_9	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_9	None	BatchNormalization
nasnet_mobile/normal_add_1_9	None	Add
nasnet_mobile/normal_add_2_9	None	Add
nasnet_mobile/normal_add_3_9	None	Add
nasnet_mobile/normal_add_4_9	None	Add
nasnet_mobile/normal_add_5_9	None	Add
nasnet_mobile/normal_concat_9	None	Concatenate
nasnet_mobile/activation_151	None	Activation
nasnet_mobile/activation_152	None	Activation
nasnet_mobile/adjust_conv_projection_10	None	Conv2D
nasnet_mobile/normal_conv_1_10	None	Conv2D
nasnet_mobile/adjust_bn_10	None	BatchNormalization
nasnet_mobile/normal_bn_1_10	None	BatchNormalization
nasnet_mobile/activation_153	None	Activation
nasnet_mobile/activation_155	None	Activation
nasnet_mobile/activation_157	None	Activation
nasnet_mobile/activation_159	None	Activation
nasnet_mobile/activation_161	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_10	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_10	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_10	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right2_10	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_10	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_10	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_10	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_10	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_10	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_10	None	BatchNormalization
nasnet_mobile/activation_154	None	Activation
nasnet_mobile/activation_156	None	Activation
nasnet_mobile/activation_158	None	Activation
nasnet_mobile/activation_160	None	Activation
nasnet_mobile/activation_162	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_10	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_10	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_10	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_10	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_10	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_10	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_10	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_10	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right2_10	None	BatchNormalization
nasnet_mobile/normal_left3_10	None	AveragePooling2D
nasnet_mobile/normal_left4_10	None	AveragePooling2D
nasnet_mobile/normal_right4_10	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_10	None	BatchNormalization
nasnet_mobile/normal_add_1_10	None	Add
nasnet_mobile/normal_add_2_10	None	Add
nasnet_mobile/normal_add_3_10	None	Add
nasnet_mobile/normal_add_4_10	None	Add
nasnet_mobile/normal_add_5_10	None	Add
nasnet_mobile/normal_concat_10	None	Concatenate
nasnet_mobile/activation_163	None	Activation
nasnet_mobile/activation_164	None	Activation
nasnet_mobile/adjust_conv_projection_11	None	Conv2D
nasnet_mobile/normal_conv_1_11	None	Conv2D
nasnet_mobile/adjust_bn_11	None	BatchNormalization
nasnet_mobile/normal_bn_1_11	None	BatchNormalization
nasnet_mobile/activation_165	None	Activation
nasnet_mobile/activation_167	None	Activation
nasnet_mobile/activation_169	None	Activation
nasnet_mobile/activation_171	None	Activation
nasnet_mobile/activation_173	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_11	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_11	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_11	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right2_11	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_11	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_11	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_11	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_11	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_11	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_11	None	BatchNormalization
nasnet_mobile/activation_166	None	Activation
nasnet_mobile/activation_168	None	Activation
nasnet_mobile/activation_170	None	Activation
nasnet_mobile/activation_172	None	Activation
nasnet_mobile/activation_174	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_11	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_11	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_11	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_11	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_11	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_11	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_11	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_11	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right2_11	None	BatchNormalization
nasnet_mobile/normal_left3_11	None	AveragePooling2D
nasnet_mobile/normal_left4_11	None	AveragePooling2D
nasnet_mobile/normal_right4_11	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_11	None	BatchNormalization
nasnet_mobile/normal_add_1_11	None	Add
nasnet_mobile/normal_add_2_11	None	Add
nasnet_mobile/normal_add_3_11	None	Add
nasnet_mobile/normal_add_4_11	None	Add
nasnet_mobile/normal_add_5_11	None	Add
nasnet_mobile/normal_concat_11	None	Concatenate
nasnet_mobile/activation_175	None	Activation
nasnet_mobile/activation_176	None	Activation
nasnet_mobile/adjust_conv_projection_12	None	Conv2D
nasnet_mobile/normal_conv_1_12	None	Conv2D
nasnet_mobile/adjust_bn_12	None	BatchNormalization
nasnet_mobile/normal_bn_1_12	None	BatchNormalization
nasnet_mobile/activation_177	None	Activation
nasnet_mobile/activation_179	None	Activation
nasnet_mobile/activation_181	None	Activation
nasnet_mobile/activation_183	None	Activation
nasnet_mobile/activation_185	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_12	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_12	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_12	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right2_12	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_12	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_12	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_12	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_12	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_12	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_12	None	BatchNormalization
nasnet_mobile/activation_178	None	Activation
nasnet_mobile/activation_180	None	Activation
nasnet_mobile/activation_182	None	Activation
nasnet_mobile/activation_184	None	Activation
nasnet_mobile/activation_186	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_12	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_12	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_12	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_12	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_12	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_12	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_12	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_12	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right2_12	None	BatchNormalization
nasnet_mobile/normal_left3_12	None	AveragePooling2D
nasnet_mobile/normal_left4_12	None	AveragePooling2D
nasnet_mobile/normal_right4_12	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_12	None	BatchNormalization
nasnet_mobile/normal_add_1_12	None	Add
nasnet_mobile/normal_add_2_12	None	Add
nasnet_mobile/normal_add_3_12	None	Add
nasnet_mobile/normal_add_4_12	None	Add
nasnet_mobile/normal_add_5_12	None	Add
nasnet_mobile/normal_concat_12	None	Concatenate
nasnet_mobile/activation_187	None	Activation
global_average_pooling2d	None	GlobalAveragePooling2D
dense	None	Dense
plant_output	None	Dense
disease_output	None	Dense
