name	output_shape	class
nasnet_mobile/separable_conv_2_reduction_right3_stem_2	None	SeparableConv2D
nasnet_mobile/separable_conv_2_reduction_left4_stem_2	None	SeparableConv2D
nasnet_mobile/adjust_relu_1_0	None	Activation
nasnet_mobile/reduction_add_2_stem_2	None	Add
nasnet_mobile/reduction_left3_stem_2	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_reduction_right3_stem_2	None	BatchNormalization
nasnet_mobile/reduction_left4_stem_2	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_reduction_left4_stem_2	None	BatchNormalization
nasnet_mobile/reduction_right5_stem_2	None	MaxPooling2D
nasnet_mobile/zero_padding2d_1	None	ZeroPadding2D
nasnet_mobile/reduction_add3_stem_2	None	Add
nasnet_mobile/add_1	None	Add
nasnet_mobile/reduction_add4_stem_2	None	Add
nasnet_mobile/cropping2d_1	None	Cropping2D
nasnet_mobile/reduction_concat_stem_2	None	Concatenate
nasnet_mobile/adjust_avg_pool_1_0	None	AveragePooling2D
nasnet_mobile/adjust_avg_pool_2_0	None	AveragePooling2D
nasnet_mobile/adjust_conv_1_0	None	Conv2D
nasnet_mobile/adjust_conv_2_0	None	Conv2D
nasnet_mobile/activation_22	None	Activation
nasnet_mobile/concatenate_1	None	Concatenate
nasnet_mobile/normal_conv_1_0	None	Conv2D
nasnet_mobile/adjust_bn_0	None	BatchNormalization
nasnet_mobile/normal_bn_1_0	None	BatchNormalization
nasnet_mobile/activation_23	None	Activation
nasnet_mobile/activation_25	None	Activation
nasnet_mobile/activation_27	None	Activation
nasnet_mobile/activation_29	None	Activation
nasnet_mobile/activation_31	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_0	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_0	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_0	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right2_0	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_0	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_0	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_0	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_0	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_0	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_0	None	BatchNormalization
nasnet_mobile/activation_24	None	Activation
nasnet_mobile/activation_26	None	Activation
nasnet_mobile/activation_28	None	Activation
nasnet_mobile/activation_30	None	Activation
nasnet_mobile/activation_32	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_0	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_0	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_0	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_0	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_0	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_0	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_0	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_0	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right2_0	None	BatchNormalization
nasnet_mobile/normal_left3_0	None	AveragePooling2D
nasnet_mobile/normal_left4_0	None	AveragePooling2D
nasnet_mobile/normal_right4_0	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_0	None	BatchNormalization
nasnet_mobile/normal_add_1_0	None	Add
nasnet_mobile/normal_add_2_0	None	Add
nasnet_mobile/normal_add_3_0	None	Add
nasnet_mobile/normal_add_4_0	None	Add
nasnet_mobile/normal_add_5_0	None	Add
nasnet_mobile/normal_concat_0	None	Concatenate
nasnet_mobile/activation_33	None	Activation
nasnet_mobile/activation_34	None	Activation
nasnet_mobile/adjust_conv_projection_1	None	Conv2D
nasnet_mobile/normal_conv_1_1	None	Conv2D
nasnet_mobile/adjust_bn_1	None	BatchNormalization
nasnet_mobile/normal_bn_1_1	None	BatchNormalization
nasnet_mobile/activation_35	None	Activation
nasnet_mobile/activation_37	None	Activation
nasnet_mobile/activation_39	None	Activation
nasnet_mobile/activation_41	None	Activation
nasnet_mobile/activation_43	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_1	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_1	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_1	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right2_1	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_1	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_1	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_1	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_1	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_1	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_1	None	BatchNormalization
nasnet_mobile/activation_36	None	Activation
nasnet_mobile/activation_38	None	Activation
nasnet_mobile/activation_40	None	Activation
nasnet_mobile/activation_42	None	Activation
nasnet_mobile/activation_44	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_1	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_1	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_1	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_1	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_1	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_1	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_1	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_1	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right2_1	None	BatchNormalization
nasnet_mobile/normal_left3_1	None	AveragePooling2D
nasnet_mobile/normal_left4_1	None	AveragePooling2D
nasnet_mobile/normal_right4_1	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_1	None	BatchNormalization
nasnet_mobile/normal_add_1_1	None	Add
nasnet_mobile/normal_add_2_1	None	Add
nasnet_mobile/normal_add_3_1	None	Add
nasnet_mobile/normal_add_4_1	None	Add
nasnet_mobile/normal_add_5_1	None	Add
nasnet_mobile/normal_concat_1	None	Concatenate
nasnet_mobile/activation_45	None	Activation
nasnet_mobile/activation_46	None	Activation
nasnet_mobile/adjust_conv_projection_2	None	Conv2D
nasnet_mobile/normal_conv_1_2	None	Conv2D
nasnet_mobile/adjust_bn_2	None	BatchNormalization
nasnet_mobile/normal_bn_1_2	None	BatchNormalization
nasnet_mobile/activation_47	None	Activation
nasnet_mobile/activation_49	None	Activation
nasnet_mobile/activation_51	None	Activation
nasnet_mobile/activation_53	None	Activation
nasnet_mobile/activation_55	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_2	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_2	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_2	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right2_2	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_2	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_2	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_2	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_2	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_2	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_2	None	BatchNormalization
nasnet_mobile/activation_48	None	Activation
nasnet_mobile/activation_50	None	Activation
nasnet_mobile/activation_52	None	Activation
nasnet_mobile/activation_54	None	Activation
nasnet_mobile/activation_56	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_2	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_2	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_2	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_2	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_2	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_2	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_2	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_2	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right2_2	None	BatchNormalization
nasnet_mobile/normal_left3_2	None	AveragePooling2D
nasnet_mobile/normal_left4_2	None	AveragePooling2D
nasnet_mobile/normal_right4_2	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_2	None	BatchNormalization
nasnet_mobile/normal_add_1_2	None	Add
nasnet_mobile/normal_add_2_2	None	Add
nasnet_mobile/normal_add_3_2	None	Add
nasnet_mobile/normal_add_4_2	None	Add
nasnet_mobile/normal_add_5_2	None	Add
nasnet_mobile/normal_concat_2	None	Concatenate
nasnet_mobile/activation_57	None	Activation
nasnet_mobile/activation_58	None	Activation
nasnet_mobile/adjust_conv_projection_3	None	Conv2D
nasnet_mobile/normal_conv_1_3	None	Conv2D
nasnet_mobile/adjust_bn_3	None	BatchNormalization
nasnet_mobile/normal_bn_1_3	None	BatchNormalization
nasnet_mobile/activation_59	None	Activation
nasnet_mobile/activation_61	None	Activation
nasnet_mobile/activation_63	None	Activation
nasnet_mobile/activation_65	None	Activation
nasnet_mobile/activation_67	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_3	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_3	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_3	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right2_3	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_3	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_3	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_3	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_3	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_3	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_3	None	BatchNormalization
